list_id,attribute_id,attribute_value
128486406,width,Ngang 4.5 m
132211732,rooms,3 PN
132211732,apartment_type,Chung cư
132361241,rooms,4 PN
132361241,house_type,"Nhà ngõ, hẻm"
132359201,rooms,3 PN
132359201,house_type,"Nhà ngõ, hẻm"
131783717,rooms,3 PN
131783717,apartment_type,"Tập thể, cư xá"
132357161,rooms,4 PN
132357161,house_type,"Nhà ngõ, hẻm"
132328491,commercial_type,Mặt bằng kinh doanh
130599979,rooms,7 PN
130599979,house_type,"Nhà ngõ, hẻm"
132363317,rooms,2 PN
132363317,house_type,"Nhà ngõ, hẻm"
132361270,rooms,3 PN
132361270,house_type,"Nhà ngõ, hẻm"
132361286,rooms,3 PN
132361286,apartment_type,"Tập thể, cư xá"
131304519,rooms,1 PN
131304519,direction,Hướng Nam
131304519,apartment_type,"Tập thể, cư xá"
130575433,rooms,nhiều hơn 10 PN
130575433,direction,Hướng Bắc
130575433,house_type,"Nhà mặt phố, mặt tiền"
132236369,land_type,Đất thổ cư
132236369,width,Ngang 4 m
132369490,rooms,2 PN
132369490,direction,Hướng Đông Nam
132369490,apartment_type,Chung cư
131941459,rooms,1 PN
131941459,apartment_type,"Căn hộ dịch vụ, mini"
132361306,rooms,5 PN
132361306,house_type,Nhà phố liền kề
132361322,rooms,2 PN
132361322,apartment_type,Chung cư
132369518,rooms,4 PN
132369518,house_type,"Nhà ngõ, hẻm"
132369522,rooms,3 PN
132369522,house_type,"Nhà ngõ, hẻm"
132361338,commercial_type,Mặt bằng kinh doanh
132076669,rooms,2 PN
132076669,direction,Hướng Nam
132076669,apartment_type,Chung cư
132088996,land_type,Đất thổ cư
132088996,width,Ngang 8 m
132220072,furnishing_rent,Nội thất đầy đủ
132361384,rooms,4 PN
132361384,house_type,"Nhà mặt phố, mặt tiền"
132330665,land_type,Đất thổ cư
132357295,rooms,3 PN
132357295,house_type,"Nhà ngõ, hẻm"
132205747,rooms,3 PN
132205747,apartment_type,"Tập thể, cư xá"
132365508,rooms,3 PN
132365508,house_type,"Nhà ngõ, hẻm"
132365510,rooms,3 PN
132365510,direction,Hướng Đông Bắc
132365510,house_type,"Nhà ngõ, hẻm"
129326280,rooms,1 PN
129326280,apartment_type,Chung cư
132357327,rooms,3 PN
132357327,house_type,"Nhà ngõ, hẻm"
132369620,rooms,5 PN
132369620,house_type,"Nhà ngõ, hẻm"
132320469,furnishing_rent,Nội thất đầy đủ
132371672,rooms,4 PN
132371672,house_type,"Nhà ngõ, hẻm"
132136167,rooms,3 PN
132136167,house_type,"Nhà ngõ, hẻm"
132365544,furnishing_rent,Nội thất đầy đủ
131986666,rooms,1 PN
131986666,direction,Hướng Tây Nam
131986666,house_type,"Nhà ngõ, hẻm"
